company_name,category,website,email,all_emails,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region
The Case Lawyer | Legal Services for Overseas Pakistanis | Cyber Crime Lawyer | Property Disputes | Financial Fraud,Attorney,https://thecaselawyer.com/,info@thecaselawyer.com,info@thecaselawyer.com; clients@thecaselawyer.com,+92 313 5456596,"First Floor, Park Towers, Suite No. 104, F 10/3 F-10, Islamabad, 44000, Pakistan",https://www.linkedin.com/company/the-case-lawyer,https://facebook.com/thecaselawyer/,https://www.instagram.com/thecaselawyer/,4.8,116,,,,Law firms in Islamabad,https://www.google.com/maps/place/The+Case+Lawyer+%7C+Legal+Services+for+Overseas+Pakistanis+%7C+Cyber+Crime+Lawyer+%7C+Property+Disputes+%7C+Financial+Fraud/data=!4m7!3m6!1s0x38dfed47dbc0ffc3:0xb0e91123090507e3!8m2!3d33.699299!4d73.010133!16s%2Fg%2F11s2ymcsx0!19sChIJw__A20ft3zgR4wcFCSMR6bA?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,87,A,2026-08-19T19:36:55.532Z,,,professional-services,professional-services; cybersecurity; real-estate,cybersecurity; real-estate,,,false,0.95,rules,south-asia
De'Dentiste',Dentist,http://www.dedentiste.com/home.html,info@dedentiste.com,info@dedentiste.com; info@sw3solutions.com,+92 300 8491016,"113 C Model Town Circular Road, Block F Block C Model Town, Lahore, 54700, Pakistan",https://pk.linkedin.com/in/ahsenjavid,https://www.facebook.com/dedentiste/,https://www.instagram.com/de.dentiste/,4.9,347,,,,Dentists in Lahore,https://www.google.com/maps/place/De%27Dentiste%27/data=!4m7!3m6!1s0x39190412d7a6b0d7:0xbada412eb6b3c615!8m2!3d31.4762294!4d74.3180104!16s%2Fg%2F1tmckmc6!19sChIJ17Cm1xIEGTkRFcazti5B2ro?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T19:31:27.689Z,,,healthcare,healthcare,,,,false,0.7,rules,south-asia
Tooth Care Dental Practice,Dental clinic,http://toothcaredentalpractice.pk/,info@toothcaredentalpractice.pk,info@toothcaredentalpractice.pk; info@smilora.com,+92 309 0881010,"PopCorn Studio | Caramel Space | DHA-5, C, 77cca commercial 1st Floor, Phase 5 D.H.A sector, Phase 5, street6 D.H.A, Lahore C Phase 5, D.H.A Sector C Phase 5 D.H.A, Lahore, 54000, Pakistan",https://www.linkedin.com/,https://www.facebook.com/toothcaredentistry/,https://www.instagram.com/toothcaredentalpractice/,4.9,264,,,,Dentists in Lahore,https://www.google.com/maps/place/Tooth+Care+Dental+Practice/data=!4m7!3m6!1s0x39190916c8b320db:0x199e98f20aa72442!8m2!3d31.4611926!4d74.4135518!16s%2Fg%2F11q2w_52_j!19sChIJ2yCzyBYJGTkRQiSnCvKYnhk?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T19:31:27.689Z,,,healthcare,healthcare,,,,false,0.95,rules,south-asia
MIAN LAW CHAMBER,Attorney,https://mlcpk.com/,impallari@gmail.com,impallari@gmail.com; team@latofonts.com,+92 300 4525667,"Burj-Al-Saeed Jewellery plaza, LG-36 Lahore – Kasur Rd, Ichhra Lahore, 54600, Pakistan",https://www.linkedin.com/company/mian-law-chamber,https://www.facebook.com/MianlawchamberLHR,https://www.instagram.com/mian_law_chamber,4.8,591,,,,Law firms in Lahore,https://www.google.com/maps/place/MIAN+LAW+CHAMBER/data=!4m7!3m6!1s0x3919049a39323963:0x1f59a3296ce4731f!8m2!3d31.531294!4d74.3217123!16s%2Fg%2F11f3xsy8d3!19sChIJYzkyOZoEGTkRH3PkbCmjWR8?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T19:32:49.157Z,,,professional-services,professional-services,,,,false,0.8999999999999999,rules,south-asia
DentAesthe (Dr. MD Moin Holy)-Dentist,Dentist,https://www.dentasthe.com/,u003cno-reply@mail.remedo.io,u003cno-reply@mail.remedo.io; johnsmith@gmail.com; dr_moin_holy@yahoo.co.in,+91 99875 28343,"Kailash Apartment, Shop- E, 4 Mount, 293, Bellasis Rd, beside Post office, Mumbai Central, Mumbai, Maharashtra 400008, India",https://www.linkedin.com/in/dr-moin-holy-b4738216/,https://www.facebook.com/dr.moin.holy,https://www.instagram.com/dr_moin_holy/,4.9,913,,,,Dentists in Mumbai,https://www.google.com/maps/place/DentAesthe+%28Dr.+MD+Moin+Holy%29-Dentist/data=!4m7!3m6!1s0x3be7ce3fe54ceaa1:0x66f57847724d3dc2!8m2!3d18.9683535!4d72.8226707!16s%2Fg%2F1pt_3zbrj!19sChIJoepM5T_O5zsRwj1Nckd49WY?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:10:00.622Z,,,healthcare,healthcare,,,,false,0.7,rules,south-asia
Dr. Inamdar's Dental Studio,Dental clinic,https://dentalstudio.co/,info.inamdardentalstudio@gmail.com,info.inamdardentalstudio@gmail.com; abc@gmail.com,+91 91373 77820,"1st Floor, Orchid Metropolis, F12, SG Barve Marg, opposite Shubh Sagar Restaurant, near Railway Station, Nehru Nagar, Kurla, Mumbai, Maharashtra 400024, India",https://www.linkedin.com/company/dr-inamdars-dental-studio/,https://www.facebook.com/drinamdardentalstudio/,https://www.instagram.com/dr.inamdarsdentalstudio/,4.9,568,,,,Dentists in Mumbai,https://www.google.com/maps/place/Dr.+Inamdar%27s+Dental+Studio/data=!4m7!3m6!1s0x3be7c893b8db407f:0xc6ed4546d56f58ff!8m2!3d19.0647529!4d72.8806705!16s%2Fg%2F1ptx9jn_q!19sChIJf0DbuJPI5zsR_1hv1UZF7cY?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:10:00.622Z,,,healthcare,healthcare; media-entertainment,media-entertainment,,,false,0.95,rules,south-asia
JuristechLegal & Partners - Best Law Firms in Mumbai,Law firm,https://juristechlegal.com/,info@juristechlegal.com,info@juristechlegal.com; juristech.legal@gmail.com,+91 83695 94241,"Impress, 1st Floor, Currinji Compund, 111-A, Mahatma Gandhi Road, near Jagruti Stationery, opp. Mumbai University, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",https://www.linkedin.com/company/juristechlegal/,https://www.facebook.com/juristechlegal,https://www.instagram.com/juristechlegal/,4.9,201,,,,Law firms in Mumbai,https://www.google.com/maps/place/JuristechLegal+%26+Partners+-+Best+Law+Firms+in+Mumbai/data=!4m7!3m6!1s0x3be7d1d75bdc31a3:0xc194fa8cd9b6dd9c!8m2!3d18.9298782!4d72.8317626!16s%2Fg%2F11gh95rbhq!19sChIJozHcW9fR5zsRnN222Yz6lME?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:11:26.327Z,,,professional-services,professional-services,,,,false,0.7,rules,south-asia
Kma Law office Led by Advocate Kunal Madan,Law firm,https://kmalawoffice.com/,kunalmadan@kmalawoffice.com,kunalmadan@kmalawoffice.com; info@kmalawoffice.com,+91 98702 70979,"7/19, Block 7, West Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008, India",https://www.linkedin.com/home,https://www.facebook.com/kmalawoffice/,,4.9,221,,,,Law firms in Delhi,https://www.google.com/maps/place/Kma+Law+office+Led+by+Advocate+Kunal+Madan/data=!4m7!3m6!1s0x390d02ec14da59d3:0x224ee2ecab834783!8m2!3d28.6493666!4d77.1657191!16s%2Fg%2F11csrv4rnq!19sChIJ01naFOwCDTkRg0eDq-ziTiI?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:13:34.491Z,,,professional-services,professional-services,,,,false,0.7,rules,south-asia
Specialist Dental Group (Mount Elizabeth Orchard),Dental clinic,https://www.specialistdentalgroup.com/,info@specialistdentalgroup.com,info@specialistdentalgroup.com; gleneagles@specialistdentalgroup.com,+65 6734 9393,"3 Mount Elizabeth, #08-03/04/10, Singapore 228510",https://www.linkedin.com/company/specialist-dental-group/posts/,https://www.facebook.com/SpecialistDentalGroup,https://www.instagram.com/specialistdentalgrp/,4.8,300,,,,Dentists in Singapore,https://www.google.com/maps/place/Specialist+Dental+Group+%28Mount+Elizabeth+Orchard%29/data=!4m7!3m6!1s0x31da199245fe2b9f:0x2c970a08a992fe71!8m2!3d1.3044599!4d103.8353291!16s%2Fg%2F1tlqmhh_!19sChIJnyv-RZIZ2jERcf6SqQgKlyw?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:14:19.685Z,,,healthcare,healthcare,,,,false,0.95,rules,southeast-asia
Nuffield Dental Raffles Place,Dentist,https://www.nuffielddental.com.sg/raffles-place-dentists,hello@nuffielddental.com.sg,hello@nuffielddental.com.sg; bedok@nuffielddental.com.sg; seletar@nuffielddental.com.sg,+65 6532 2644,"1 Raffles Pl, #05-19, Singapore 048616",https://sg.linkedin.com/company/nuffield-dental,https://www.facebook.com/nuffielddental,https://www.instagram.com/nuffielddental/,4.9,642,,,,Dentists in Singapore,https://www.google.com/maps/place/Nuffield+Dental+Raffles+Place/data=!4m7!3m6!1s0x31da190952fdefdb:0x36369dd9622aa905!8m2!3d1.2844024!4d103.8509818!16s%2Fg%2F11bc7371d2!19sChIJ2-_9UgkZ2jERBakqYtmdNjY?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,85,A,2026-08-19T20:14:19.685Z,,,healthcare,healthcare,,,,false,0.8999999999999999,rules,southeast-asia
